edge_id,mean_speed,max_occupancy,mean_occupancy,waiting_time,sample_count,congested
-712906086#1,4.197,0.017,0.006,0.0,11143,1
390876404#1,0.418,0.670,0.060,565710.0,38005,1
435383360#5,2.241,0.652,0.122,5055.0,3769,1
-306620331#5,1.964,0.523,0.215,0.0,1238,1
-106928653#4,2.622,0.380,0.077,204.0,5161,1
-464564740#0,1.806,0.326,0.046,0.0,24016,1
-464564740#1,2.022,0.299,0.050,0.0,20129,1
-198118090,4.075,0.068,0.014,227.0,20664,1
-323470714#12,1.983,0.340,0.112,0.0,4094,1
258418475,4.192,0.022,0.005,0.0,19023,1
435383360#3,2.747,0.250,0.051,192.0,7039,1
-306620331#9,1.939,0.326,0.108,0.0,2403,1
435353056#1,1.751,0.106,0.035,0.0,7272,1
435353056#0,2.748,0.105,0.053,0.0,3128,1
587606000,1.753,0.058,0.012,0.0,21917,1
-323470714#3,1.842,0.258,0.050,0.0,6647,1
-83715145#0,1.584,0.100,0.050,4443.0,5683,1
713385206#1,1.751,0.209,0.105,0.0,2407,1
713385206#0,1.756,0.073,0.018,0.0,13608,1
727171050,1.750,0.031,0.000,0.0,357529,1
-427091882#4,3.390,0.285,0.049,16.0,8476,1
1206163260#0,0.264,0.422,0.021,3247881.0,95154,1
-427091882#5,2.726,0.332,0.048,3543.0,7399,1
83737106#5,2.502,0.143,0.014,0.0,12229,1
106618518#3,2.595,0.399,0.101,260.0,5073,1
385167822#4,0.332,0.395,0.028,1842085.0,61475,1
-306604006#5,3.053,0.293,0.049,237.0,7897,1
83737106#0,2.552,0.160,0.027,0.0,6492,1
385167822#1,0.361,0.412,0.030,1543931.0,58198,1
-106609644#0,2.747,0.279,0.046,0.0,6262,1
83737118#9,2.128,0.499,0.057,0.0,7387,1
83737118#8,2.162,0.475,0.059,0.0,7030,1
69421363#0,1.919,0.284,0.057,358.0,4368,1
83737118#6,2.364,0.291,0.053,0.0,5869,1
390876404#3,0.324,0.678,0.060,753435.0,44701,1
390876404#2,0.373,0.679,0.059,653278.0,42556,1
83737118#2,2.502,0.283,0.056,0.0,4866,1
55465884#1,2.939,0.386,0.101,0.0,1705,1
83737053#0,0.552,0.702,0.078,346856.0,26318,1
711187486#6,0.595,0.682,0.056,658032.0,28415,1
435352396,4.188,0.099,0.020,1.0,4356,1
-369011877#6,2.924,0.318,0.022,54.0,48252,1
83715119#2,3.269,0.318,0.078,6.0,11949,1
83715119#1,2.393,0.449,0.050,654.0,26683,1
711187486#1,1.401,0.683,0.056,237300.0,15862,1
711187486#0,2.500,0.526,0.048,76577.0,10092,1
83715123,2.957,0.303,0.104,498.0,3906,1
-106932687,1.882,0.091,0.003,16.0,91141,1
-427091880#6,1.809,0.502,0.095,0.0,7172,1
385167822#5,0.317,0.389,0.030,1819304.0,60251,1
-427091880#11,1.798,0.536,0.088,0.0,7944,1
385167822#0,0.387,0.406,0.029,1271609.0,57058,1
-717018706#0,2.575,0.308,0.044,3167.0,7040,1
385156778#0,0.238,0.675,0.061,1275266.0,49566,1
306603625,2.886,0.185,0.018,337.0,25137,1
83718172#5,0.528,0.664,0.058,448836.0,19035,1
306620331#7,2.746,0.069,0.071,0.0,157,1
83718172#4,2.320,0.316,0.065,13077.0,4220,1
83737118#3,2.490,0.513,0.129,0.0,2158,1
83718172#2,2.750,0.195,0.064,0.0,3377,1
83737056,3.261,0.387,0.080,135.0,4285,1
83718172#0,2.684,0.239,0.059,0.0,4450,1
-107537246#3,2.651,0.105,0.113,0.0,783,1
-107552045#4,2.792,0.436,0.231,154.0,1317,1
83737118#0,2.551,0.167,0.028,0.0,9878,1
107553471#0,2.745,0.248,0.123,0.0,1864,1
107537258#5,0.294,0.662,0.017,3046361.0,225220,1
393255040#2,1.951,0.228,0.028,0.0,8603,1
222899712#0,1.962,0.289,0.058,0.0,4203,1
-427091880#0,1.804,0.377,0.110,172.0,2366,1
106734530#13,1.880,0.253,0.028,0.0,14477,1
-427091880#1,1.803,0.384,0.095,0.0,2745,1
393483684#1,2.563,0.181,0.061,130.0,4212,1
-427091880#7,1.819,0.510,0.099,0.0,6737,1
-107545498,1.750,0.222,0.037,0.0,11070,1
-427091880#12,1.792,0.423,0.048,0.0,14944,1
106621530#0,2.754,0.161,0.041,0.0,4889,1
-427091880#14,1.849,0.513,0.107,15.0,6607,1
-106621768#8,1.753,0.249,0.049,0.0,5972,1
106621766#2,1.750,0.214,0.043,0.0,8461,1
369011877#5,2.740,0.338,0.057,850.0,15272,1
106621766#1,1.758,0.330,0.160,0.0,2179,1
106621766#0,1.746,0.274,0.090,0.0,3903,1
-365435693#0,1.756,0.205,0.041,0.0,8670,1
369011877#2,2.346,0.337,0.058,4666.0,9459,1
369011877#1,2.528,0.328,0.066,298.0,7812,1
-365435693#3,1.771,0.237,0.079,0.0,4458,1
1446819416#1,2.570,0.210,0.053,452.0,9169,1
1446819416#0,2.246,0.349,0.173,246.0,3256,1
365435693#6,1.800,0.296,0.050,0.0,16005,1
-365435693#7,1.776,0.197,0.050,0.0,6930,1
435383363,1.889,0.045,0.012,0.0,1033,1
-106816334#0,2.290,0.025,0.025,0.0,248,1
74112601,3.053,0.116,0.058,29.0,279,1
-106923052#3,1.878,0.291,0.058,0.0,3548,1
-1205969618#0,2.629,0.075,0.092,1.0,41,1
258418601#2,2.541,0.116,0.130,5.0,71,1
-427091880#13,1.818,0.368,0.044,0.0,16249,1
-323470714#1,1.751,0.098,0.048,0.0,2370,1
711187487#0,2.107,0.146,0.036,43.0,3242,1
-717018706#2,2.718,0.157,0.055,30.0,546,1
106734569#1,3.795,0.058,0.040,2.0,36,1
385158753#0,2.681,0.057,0.057,0.0,3,0
-365435693#5,1.762,0.328,0.110,0.0,3224,1
323470714#3,1.948,0.100,0.049,0.0,1147,1
106734537#1,2.624,0.387,0.099,158.0,3137,1
435383360#4,2.663,0.259,0.053,327.0,6985,1
106928653#3,2.792,0.085,0.084,19.0,406,1
717018706#5,2.529,0.316,0.108,20.0,368,1
306603044#0,2.820,0.320,0.046,2002.0,10818,1
-106734574#5,2.664,0.038,0.039,5.0,261,1
-717018706#8,2.807,0.119,0.060,15.0,429,1
-106735202#3,1.723,0.193,0.193,0.0,3,0
-1361036529,3.160,0.023,0.012,0.0,678,1
717017078#3,2.241,0.140,0.069,0.0,421,1
385156771,2.587,0.346,0.050,2441.0,5521,1
-717018699#0,3.239,0.475,0.121,1.0,3735,1
390855006#2,2.015,0.068,0.068,0.0,223,1
-106734574#6,2.500,0.104,0.106,7.0,126,1
107537246#4,2.382,0.212,0.111,15.0,94,1
-83715120#4,2.940,0.056,0.060,2.0,84,1
306611255,2.217,0.047,0.047,218.0,151,1
464564740#0,2.056,0.094,0.048,0.0,272,1
-323470714#8,2.074,0.531,0.203,0.0,960,1
-83715139#1,2.340,0.102,0.053,0.0,173,1
106734050#0,4.210,0.001,0.001,0.0,256,1
-435387528#4,2.097,0.255,0.122,0.0,200,1
-464440159#2,3.224,0.055,0.055,3.0,81,1
-711187489#3,3.042,0.100,0.053,6.0,207,1
-107552045#6,2.976,0.320,0.171,160.0,1644,1
83737118#5,2.431,0.313,0.062,0.0,4772,1
717018706#3,2.878,0.162,0.064,16.0,461,1
390855006#1,1.918,0.065,0.069,0.0,220,1
-107537265#3,2.205,0.100,0.052,0.0,555,1
42980561#1,1.867,0.084,0.120,0.0,14,1
385156779#1,0.028,0.057,0.057,1.0,1,0
-106923045,2.598,0.064,0.087,1.0,22,1
-1386953920,1.803,0.288,0.072,0.0,317,1
107552045#7,2.516,0.356,0.118,1688.0,1756,1
-106923052#1,1.852,0.306,0.061,0.0,3357,1
435383361#0,0.934,0.675,0.074,198420.0,13060,1
-107545510#0,2.704,0.325,0.054,269.0,4166,1
751775952#0,2.798,0.060,0.073,1.0,41,1
-711187486#6,2.406,0.398,0.057,1184.0,21699,1
-306603560#2,1.977,0.161,0.081,0.0,320,1
83715148#1,1.970,0.051,0.052,0.0,197,1
389987764#2,3.136,0.021,0.021,0.0,215,1
323470714#1,1.839,0.098,0.051,0.0,841,1
390861646#0,1.871,0.479,0.058,9.0,23410,1
-427091882#1,3.116,0.041,0.015,13.0,685,1
17735530#3,2.699,0.338,0.048,0.0,10317,1
-106734537#0,2.800,0.496,0.128,2065.0,3008,1
107545510#1,3.124,0.072,0.041,4.0,119,1
-369013318#0,1.876,0.160,0.082,0.0,709,1
106931287#2,2.104,0.048,0.046,0.0,98,1
-106734530#12,2.116,0.103,0.125,0.0,41,1
-107545503#0,3.080,0.032,0.033,4.0,194,1
-1205642268,1.995,0.151,0.051,0.0,573,1
323470714#4,1.932,0.133,0.067,0.0,937,1
107537270#0,2.237,0.087,0.087,0.0,72,1
-369011875#3,2.948,0.239,0.060,73.0,2059,1
107552045#6,3.285,0.320,0.168,0.0,301,1
427091880#14,2.647,0.491,0.108,0.0,5979,1
-369011877#0,2.999,0.105,0.053,10.0,288,1
-106734530#5,2.103,0.114,0.107,0.0,53,1
-1446819413#0,2.449,0.130,0.066,0.0,125,1
717018706#1,2.937,0.155,0.053,15.0,486,1
-84718335#1,2.204,0.020,0.020,0.0,625,1
385156776,2.886,0.072,0.074,5.0,131,1
107545510#0,3.391,0.325,0.054,1528.0,8576,1
-369012894,1.761,0.088,0.029,0.0,4083,1
1205352352,1.312,0.149,0.082,3470.0,328,1
-636433639#1,2.912,0.065,0.068,3.0,57,1
385158750#0,3.783,0.063,0.067,4.0,73,1
83718172#7,0.313,0.674,0.069,645647.0,24252,1
83718186,3.193,0.337,0.082,49.0,7174,1
-83619622#2,2.498,0.028,0.031,0.0,89,1
-306611196#2,2.958,0.124,0.073,7.0,167,1
-83715145#2,1.751,0.100,0.050,0.0,5054,1
-435427814,2.757,0.193,0.054,0.0,4803,1
-306611196#0,2.869,0.266,0.103,0.0,131,1
-83737082#1,3.647,0.287,0.058,293.0,6551,1
427091880#1,2.718,0.288,0.095,0.0,2558,1
456185065#1,2.902,0.055,0.028,8.0,442,1
-393483684#1,2.252,0.121,0.062,581.0,414,1
-1191290960#0,2.743,0.406,0.213,19.0,169,1
717018706#4,2.648,0.292,0.103,18.0,344,1
385158740#3,2.821,0.116,0.061,8.0,234,1
385158744#0,2.410,0.060,0.080,1.0,15,1
-435383360#4,3.248,0.052,0.054,57.0,77,1
106927887#1,2.631,0.048,0.053,2.0,73,1
502799838#0,2.784,0.055,0.056,20.0,649,1
106928653#0,2.786,0.128,0.063,51.0,1437,1
-106928653#3,2.617,0.342,0.086,507.0,4582,1
83737073#5,2.236,0.128,0.130,3.0,40,1
106734531#4,2.955,0.102,0.086,4.0,83,1
314619549#13,1.932,0.045,0.051,0.0,80,1
435387528#5,2.077,0.192,0.066,0.0,251,1
361115014,2.326,0.148,0.037,0.0,2942,1
-107553471#9,1.757,0.120,0.148,0.0,39,1
106734534#4,2.444,0.059,0.066,92.0,69,1
-106618195#6,3.192,0.074,0.024,6.0,382,1
-464440158,2.535,0.118,0.059,55.0,1456,1
-106864179#4,2.169,0.097,0.138,1.0,14,1
-369010053#1,2.834,0.161,0.089,5.0,90,1
83737060#1,2.787,0.068,0.073,8.0,140,1
106734571#0,2.475,0.060,0.071,0.0,42,1
306603678,2.189,0.020,0.022,1.0,9,1
-107537252#3,0.026,0.043,0.043,1.0,1,0
-456185065#1,3.534,0.055,0.028,4.0,190,1
502799838#1,3.019,0.078,0.080,1.0,429,1
-306603445#2,2.746,0.067,0.067,0.0,7,1
106734531#1,2.885,0.019,0.020,2.0,116,1
712927445#2,2.011,0.046,0.047,0.0,452,1
106734531#5,1.768,0.306,0.103,347.0,153,1
-106931277#0,3.617,0.063,0.072,3.0,44,1
-107537269#0,1.926,0.118,0.118,1.0,4,0
42980561#4,1.827,0.057,0.060,0.0,58,1
-106735206#3,3.576,0.052,0.061,1.0,17,1
1205969620,2.960,0.111,0.022,69.0,5302,1
258418175#3,2.800,0.094,0.134,0.0,14,1
106928653#4,3.197,0.076,0.076,0.0,387,1
106734696#1,0.065,0.039,0.039,1.0,1,0
